🍺,1164
🍼,227
🎶,1132
👙,172
💍,1168
🚅,7
🚃,11
💺,12
⚓️,51
🛸,59
🧔🏻,356
🇺🇸,477
📚,555
🕰,18
🥤,43
🍻,442
🥃,537
🥂,136
🍹,154
💋,824
💄,998
🥴,112
👸🏾,22
😻,444
👶🏻,219
👗,522
✈️,687
🐶,3270
🧘🏻‍♀️,29
👶,366
👀,287
🎁,243
🎄,288
😍,3488
🎧,1018
🎸,623
🎹,236
💤,339
🎮,2844
💻,733
😂,2402
🍉,121
🤪,1118
🦔,93
🌱,97
🏃🏼‍♀️,38
🏳️‍🌈,451
🔥,677
✡,5
😮,68
🍷,613
🚬,533
💣,224
🔫,791
💸,197
🗡,151
🎥,154
👫,413
🏍,222
🐘,138
🏔,77
❤️,3466
💎,200
🎙,22
🗣,150
🧩,81
🎨,601
🎻,111
🎲,200
🍎,151
🍓,95
💩,1048
😈,1168
👻,560
💀,540
👨‍👧‍👦,63
🏈,2089
🚚,50
😔,98
🍑,705
💗,203
💙,400
🐱,1585
🍔,813
🧐,163
❤,816
😇,649
🎵,321
😫,105
🤷🏽‍♀️,34
👩‍👩‍👧,14
💕,752
♟,73
🍕,941
🐈,633
🇯🇵,52
👩🏻,277
👄,225
💃🏻,142
🎤,474
✡️,30
☸,1
😀,447
🥑,163
🐺,253
🍆,1594
😎,1630
🏒,247
👨🏻‍💻,159
🎼,721
🤷🏻‍♀️,125
⚾️,461
🛴,28
📺,375
😘,1804
💯,262
🌅,33
🏨,19
🏩,16
🐬,99
👎🏿,2
🖕,331
💛,173
😊,646
😭,569
👩‍❤️‍👩,85
🐋,35
🐕,749
🧢,219
☸️,3
☯,1
🌸,257
💃,248
⛩,21
🇰🇷,31
😏,415
👧,308
🐴,280
🍤,98
👩🏻‍🦱,22
🧠,480
💫,45
😡,399
🦄,726
🛒,32
🐙,95
🎉,280
🛬,11
🏥,81
👨‍👦,52
🎱,113
🎫,68
🎰,106
🏖,214
🌨,23
🏃‍♂️,52
⚽️,438
🏀,823
🥎,50
💁🏻‍♀️,72
💲,63
📝,105
🤓,897
👨‍⚕️,45
💪,320
🕹,397
😁,548
⛷,97
🐿,47
🥨,82
💖,376
💁,81
🙄,488
🚺,42
😩,175
🍖,53
🏋️🏾‍♂️,1
👠,471
👜,201
👩,393
☕,287
🇺🇦,2
⛪️,83
😉,321
😚,162
🤒,50
👱,59
🌎,134
💥,101
☄️,19
🌦,3
🚖,11
🚋,5
🙈,198
🥪,24
💐,119
🖊,50
🌵,138
☀️,206
🌻,241
🎪,44
👌,314
👨‍👩‍👧‍👦,287
🏘,11
🥋,76
🔮,290
🦇,133
🖤,449
🕸,61
☮,5
🕎,46
💅,400
😺,384
👨,356
☺,68
😋,338
🧁,61
🤬,482
🐒,116
🧟‍♀️,75
😜,553
🇧🇪,8
🏉,58
🚀,94
🥞,88
👩‍👧‍👦,103
🛍,212
😕,71
😑,225
💰,404
📱,897
👩🏼,207
🍳,120
👩🏻‍🚒,4
🕯,51
🚘,255
👔,341
⚾,150
🐻,262
👩‍⚕️,90
👩‍👧,222
🍣,297
🙂,190
🦌,279
🌲,279
🔧,212
🏹,146
🌠,38
👪,210
🥩,197
🛠️,29
🛌🏼,2
☠,65
🤷‍♀️,122
🤩,459
🤑,405
🗡️,9
💏,820
💝,125
🔆,5
🌚,154
👩‍🍳,68
🤵🏻,44
👉🏽,6
👌🏾,10
💅🏻,257
☺️,255
📓,79
😽,106
👉,63
👌🏻,127
👌🏼,57
👌🏽,18
👌🏿,16
💞,167
🥳,322
🧗🏻‍♂️,28
🎈,114
🍰,169
😤,180
🤷🏼‍♀️,83
👢,133
🎭,306
😛,193
😱,196
🤔,297
❄️,258
🍬,90
🧔,181
⛺️,64
👉🏿,9
👉🏻,16
👨‍🎓,42
👟,374
🌮,461
🦈,94
👾,401
👩‍🎨,51
🧝‍♀️,34
🌈,549
🎺,113
🥰,1169
🦜,38
⌚️,178
⌨️,37
🖥,225
🥊,83
📹,33
🚗,545
👨🏻‍🍳,55
🙏,168
👴,124
🐄,105
📷,229
📻,28
⚉,1
⛞,4
⛋,2
⚆,2
👨‍👩‍👧,221
👨‍🍳,82
🕴,28
❌,27
😄,211
😶,123
🌝,40
🧜‍♂️,23
💦,939
⚈,1
👩🏻‍🍳,48
🤱🏻,70
🍟,253
🇬🇧,63
🤯,307
👨‍🦱,10
👨‍💻,169
🧚‍♀️,99
🚌,28
🇮🇪,16
✊,23
⚀,3
⚁,2
⚂,2
⚃,2
⚄,1
💿,62
🎬,236
💳,44
💅🏼,150
🍩,250
👩‍🏫,100
✌,60
